ID,Name,Field names,Data types,Units,Default values,Description,Senders,Receivers,Send interval,Convert endianness,Type,Properties,Send frequency
22,ACU_MotorControlState,"mode, hillAssistActive, leftInverterAlive, rightInverterAlive, leftInverterError, rightInverterError, throttlePedalOK, brakePedalOK, leftInvInternalOverTemperature, leftInvMotorOverTemperature, leftInvOvercurrent, leftInvUndercurrent, leftInvOvervoltage, leftInvUndervoltage, rightInvInternalOverTemperature, rightInvMotorOverTemperature, rightInvOvercurrent, rightInvUndercurrent, rightInvOvervoltage, rightInvUndervoltage, leftInverterStatus, rightInverterStatus","MotorControlMode, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, InverterStatus, InverterStatus","mode, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, status, status","MotorControlMode::Manual, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, InverterStatus::Unknown, InverterStatus::Unknown",Contains the motor control state of the ACU,ACU,,10,1,A,,5
23,ACU_CruiseControl,"setpoint, state","float, ControlState","m/s, state","0.f, ControlState::Unknown",Contains the current state of the cruise control,ACU,SSB,10,1,A,,5
24,ACU_PedalFaults,"throttlePedalsDifferent, throttle1AOB, throttle2AOB, brakePedalsDifferent, brake1AOB, brake2AOB","bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1","T/F, T/F, T/F, T/F, T/F, T/F","0, 0, 0, 0, 0, 0",Contains any faults in the pedal measurements,ACU,FUC,100,1,A,,5
25,ACU_Lights,"brakeLight, reverseLight","bool: 1, bool: 1","T/F, T/F","0, 0",Contains whether the lights controlled by the ACU should be enabled,ACU,RAUX,5,1,A,,10
30,PvC_Output,"voltage, current","float, float","V, A","0.f, 0.f",Voltage and current output of the PvC,PvC,"ChC, BoC",5,1,A,,10
60,SSB_Lights,"lights,fogLight,leftIndicator,rightIndicator","LightingState,bool: 1, bool: 1, bool: 1","State, On/Off, On/Off, On/Off","LightingState::Off, false, false, false",Current lighting state according to the SSB,SSB,"FUC, RAUX",5,1,A,,40
61,SSB_PedallessRegen,"amount, enable","float, bool","-, T/F","0.f, 0",Allows for regenerative braking through input on the steering wheel,SSB,ACU,,1,A,,0
62,SSB_HumanInput,humanInput,bool,T/F,0,Whether a hand is present on the steering wheel,SSB,ACU,20,1,A,,10
70,BB_ActuationState,enable,bool,T/F,0,Whether the Blue box wants actuation control to be enabled,BB,ACU,,1,A,,10
71,BB_SetPoint,"steeringAngle, velocity, acceleration, reverse","int16_t, int16_t, int16_t, bool","deg, mm/s, mm/s^2, T/F","0, 0, 0, false",Target kinematic setpoint for the actuators,BB,ACU,1,1,A,,20
75,AVC_Faults,"disabledByTemperature, disabledByInputVoltage, disabledByOutputVoltage, disabledByOutputCurrent, disabledByKillswitch","bool: 1, bool: 1, bool: 1, bool: 1, bool: 1","T/F, T/F, T/F, T/F, T/F","false, false, false, false, false",Whether any faults occurred during normal operation of the AVC,AVC,,1,1,A,,10
101,LVC_InterlockOK,"imdOk, hvilOk","bool, bool","T/F, T/F","0,0",Indicates the IMD OK and HVIL OK signals.,LVC,,,1,A,,10
102,LVC_EmergencyState,inEmergencyState,bool,T/F,0,Whether or not the car is in emergency state. Which is the case if any of the emergency buttons is pressed.,LVC,,,1,A,,1
103,LVC_AOPSUPower,"current, voltage","uint16_t, uint16_t","mV, mA","0,0",Current drawn from the standby AOPSU. Voltage created by the AOPSU,LVC,,,1,A,,500
104,LVC_LVPower,"current, voltage","uint16_t, uint16_t","mV, mA","0,0","Indicates the current flow after the LV converters, measured by the LV_CUR_ADC. Voltage after the LV converters, measured by LV_V_ADC",LVC,,,1,A,,500
105,LVC_BMSHVOk,bmsHVOK,bool,T/F,0,Indicates whether or not the BMS HV OK signal is high.,LVC,,,1,A,,30
106,LVC_HVUnderVoltage,HVInBoundaries,bool,T/F,0,Indicates whether or not the HV voltage is within safe operating boundaries.,LVC,,,1,A,,30
107,LVC_StandbyPSUConnected,psuConnected,bool,T/F,0,Indicates whether the Standby PSU is connected to the LVC and is within normal operation bounds.,LVC,,,1,A,,10
108,LVC_NTC1,temp,int16_t,ddegC,0,Temperature measured by NTC1 in dC,LVC,,,1,A,,10
109,LVC_NTC2,temp,int16_t,ddegC,0,Temperature measured by NTC2 in dC,LVC,,,1,A,,10
110,LVC_NTC3,temp,int16_t,ddegC,0,Temperature measured by NTC3 in dC,LVC,,,1,A,,10
111,LVC_NTC4,temp,int16_t,ddegC,0,Temperature measured by NTC4 in dC,LVC,,,1,A,,10
112,LVC_ConvCount,convsEnabled,uint8_t,-,0,Emits the number of converters currently turned on. Should not be used for timing of the converter count changes. That can be obtained from the LVStatus message.,LVC,,,1,A,,1
113,LVC_TimeoutSensor,ignoreMe,bool,T/F,0,Used to wake an actuator that has to act based on a timeout.,LVC,,,1,A,,0
114,LVC_KeyStatus,keyStatus,KeyStatus,Key status,KeyStatus::Off,Indicates the position of the key,LVC,,,1,A,,10
115,LVC_Version,"controller_major_version, controller_minor_version, eslib_major_version, eslib_minor_version, csv2cpp_major_version, csv2cpp_minor_version","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","-,-,-,-,-,-","0,0,0,0,0,0",For logging/debugging,LVC,,,1,A,,0
116,LVC_EnableBMSCooling,enable,bool,T/F,0,Contains whether the BMS should enable cooling due to the LVC registering a temperature which is too high,LVC,BMS,,1,A,,0
199,LVC_EnableLVCFan,enableFan,bool,T/F,0,This message can be used to enable the LVC Fan manually. It could be send from the strategy van to enable the Fan in dire situations to prevent disaster.,LVC,,,1,A,,0
128,CANOpen_SYNC,,,,,CANopen SYNC message,ACU,"SAC, BAC",,1,A,,0
129,SAC_EMCY,"errorCode, errorRegister, vendorData1, vendorData2","uint16_t, uint8_t, uint8_t, uint32_t","-, -, -, -","0, 0, 0, 0",CANOpen EMCY object for the steering actuator,SAC,ACU,,0,A,,0
130,BAC_EMCY,"errorCode, errorRegister, vendorData1, vendorData2","uint16_t, uint8_t, uint8_t, uint32_t","-, -, -, -","0, 0, 0, 0",CANOpen EMCY object for the braking actuator,BAC,ACU,,0,A,,0
200,BMS_SubStates,"essSubState, satStartupState, ivtStartupState, balancingState, cellOvervoltageState, uvRecoveryState","BMSESSSubState, SatelliteStartupState, IVTStartupState, BMSBalancingState, CellOvervoltageLimit, UVRecoveryState","ESS substate, satellite startup state, IVT startup state, balancing state, cell overvoltage state, undervoltage recovery state","BMSESSSubState::Ready, SatelliteStartupState::None, IVTStartupState::None, BMSBalancingState::None, CellOvervoltageLimit::None, UVRecoveryState::None",Sub-states of the BMS state machine,BMS,,100,1,A,,10
201,BMS_Inputs,"estop, hvilOk, hvilMid, imdOk, ivtOCS, satFaultInt, hvAuxNeg, hvAuxPos, hvContNegMeas, hvContPosMeas, lvcWake","bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1","high/low,high/low,high/low,high/low,high/low,high/low,high/low,high/low,high/low,high/low,high/low","0,0,0,0,0,0,0,0,0,0,0",Input measurements by the BMS state machine,BMS,,20,1,A,,20
202,BMS_OverridesAndContactors,"hvilOverridden, imdOverridden, ivtOCSOverridden, enableNeg, enablePos, dischargeOff","bool,bool,bool,bool,bool,bool","T/F, T/F, T/F, T/F, T/F, T/F","0, 0, 0, 0, 0, 0",Whether the overrides of the BMS are active and whether contactors are enabled,BMS,,100,1,A,,10
203,BMS_ContinuousCharging,"maxChargingCurrent, chargingAllowed, cellOverVoltageLimited, overTemperatureLimited","uint32_t, bool, bool:1, bool:1","mA, T/F, T/F, T/F","0, 0, 0, 0","Whether continuous charging is allowed, at which current, and the reason why it isn't allowed if it isn't",BMS,"ChC, PvC",100,1,A,,10
204,BMS_PeakPower,"allowPeakCharging, allowPeakDischarging","bool, bool","T/F, T/F","0, 0",Whether regenerative braking and high motor power current is allowed,BMS,ACU,100,1,A,,10
205,BMS_Current,current,float,A,0.f,Battery current as given by the IVT,BMS,"ChC, PvC",5,1,A,,10
207,BMS_BatteryPower,power,float,W,0.f,Battery power usage,BMS,MK5,10,1,A,,5
208,BMS_SatInterfaceState,"state, error, nSats, satTimeoutCounter, satOK, undervoltage, overvoltage, auxUndervoltage, auxOvervoltage, comparatorUndervoltage, comparatorOvervoltage, communicationFault, systemFault, chipFault, gpiFault","BMSSatState, BMSSatError, uint8_t, uint8_t, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1","state, error, -, -, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F","BMSSatState::Unknown, BMSSatError::Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",State of the BMS sat board interface,BMS,,40,1,A,,5
209,BMS_SatBalancingState,"sat1VoltageComparison, sat2VoltageComparison, sat3VoltageComparison","uint16_t, uint16_t, uint16_t","bit array, bit array, bit array","0, 0, 0",Balancing status of the BMS satellite boards containin the voltage comparisons,BMS,,40,1,A,,5
210,BMS_SatInterfaceControl,"activate, enableRecoveryUVThreshold","bool: 1, bool: 1","T/F, T/F","0, 0",Control parameters for the BMS sat interface,BMS,,200,1,A,,5
211,BMS_SatBalancingControl,"sat1BalancingChannels, sat2BalancingChannels, sat3BalancingChannels, balancingThresholdVoltage","uint16_t, uint16_t, uint16_t, uint16_t","bit array, bit array, bit array, mV","0,0,0,0",Control parameters for the BMS sat interface related to balancing,BMS,,200,1,A,,5
212,BMS_SoCSoH,"soc, soh","float, float","%, %","0.f, 0.f","Battery State of Charge per %,  Battery State of Health per %",BMS,"FUC, BoC",10,1,A,,5
213,BMS_SatPCBTemperatures,"sat1pcbTemperature, sat2pcbTemperature, sat3pcbTemperature","int16_t, int16_t, int16_t","c°C, c°C, c°C","0, 0, 0","Sat Board PCB Temperatures, used to discover hot pcb for instance when balancing",BMS,,40,1,A,,5
214,BMS_SatPCBVoltages,"sat1pcbVoltage, sat2pcbVoltage, sat3pcbVoltage","uint16_t, uint16_t, uint16_t","mV, mV, mV","0, 0, 0","Sat Board PCB Voltage, used to know which stack voltage is highest and lowest",BMS,,40,1,A,,5
215,BMS_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",BMS version message,BMS,,,1,A,,0
216,BMS_PCBTemperatures,"ntc1, ntc2, ntc3","int16_t, int16_t, int16_t","c°C, c°C, c°C","0, 0, 0",PCB temperatures measured by the NTC's on the BMS,BMS,,200,1,A,,5
217,BMS_HVMeasurements,"batteryVoltage, busVoltage","float, float","V, V","0.f, 0.f",Voltage measurements of the battery and the bus as received from the IVT,BMS,,100,1,A,,10
218,BMS_IVTOCSettings,"state, chargingLimit, dischargingLimit","IVTLimitState, IVTChargingLimitSetting, IVTDischargingLimitSetting","state, state, state","IVTLimitState::IVTOff, IVTChargingLimitSetting::IVTOff, IVTDischargingLimitSetting::IVTOff",Settings of the IVT current thresholds,BMS,,200,1,A,,5
219,BMS_ContactorHistory,"ocs_timer, prerelay, pos, neg","uint32_t, bool:1, bool:1, bool:1","us, T/F, T/F, T/F","0,0,0,0",Contactor history on the BMS,BMS,,500,1,A,,5
220,BMS_IVTDebugging,"rdErrorCount, tdErrorCount, written","uint8_t, uint8_t, uint8_t","-, -, -","0, 0, 0",Debugging data for the IVT issue on the BMS,BMS,,200,1,A,,5
221,BMS_CoulombCounter,counter,int64_t,As,0,Coulomb counter of the BMS,BMS,,10,1,A,,5
222,BMS_WhCounter,counter,int64_t,Wh,0,Cumulative Wh counter of the BMS,BMS,,10,1,A,,5
231,BMS_ResetCoulombCounter,counter,int64_t,As,0,"Reset value for the coulomb counter of the BMS, can only be written while in ESS",BMS Servicing,BMS,,1,A,,0
232,BMS_ResetWhCounter,counter,int64_t,As,0,"Reset value for the Wh counter of theBMS, can only be written while in ESS",BMS Servicing,BMS,,1,A,,0
233,BMS_IVTErrorMask,"measDB2, measDB3, sysDB2, sysDB3","uint8_t, uint8_t, uint8_t, uint8_t","-,-,-,-","0,0,0,0",Error bits of the IVT,BMS,,,1,A,,0
234,BMS_IMDStatusLatched,"insulationValue, frequencyHz, state","uint32_t, uint16_t, IMDMeasurement","kOhm, Hz, state","0, 0, IMDMeasurement::NoData",Contents of the BMS_IMDStatus message during Shutdown state. This message is ONLY updated when the IMD interface is in Shutdown state,BMS,MK5,100,1,A,,5
240,BMS_GitInfo,"hash,controllerRepoState,eslibRepoState,canspecRepoState","uint32_t,RepoState,RepoState,RepoState","-,-,-,-","0,RepoState::Unknown,RepoState::Unknown,RepoState::Unknown",Git repository state of the BMS,BMS,,,1,A,,5
241,BMS_BuildTimeStamp,"year,month,day,hour,minute","uint16_t,Month,uint8_t,uint8_t,uint8_t","year,month,day,hour,minute","0,Month::Unknown,0,0,0",Timestamp of the build of the current BMS binary,BMS,BMS,,1,A,,0
300,ACU_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",ACU version message,ACU,,,1,A,,0
301,ACU_Keepalive,"mode, bmsAlive, ssbAlive, srvRegenAlive, esbAlive, inverter","ACUMode, bool: 1, bool: 1, bool: 1, bool: 1, InverterType","Mode, T/F, T/F, T/F, T/F, Inverter type","ACUMode::WSC, 0, 0, 0, 0, InverterType::Unknown",Keepalive and mode of the ACU,ACU,,10,1,A,,5
302,ACU_Regenerative,"amount, enabled","float, bool : 1","0-1, T/F","0.f, 0",Whether regenerative braking is enabled or not and the amount with which there is currently being braked regeneratively,ACU,BoC,10,1,A,,5
303,ACU_Pedals,"throttle, brake","float, float","-, -","0.f, 0.f",Fused pedal measurements,ACU,,10,1,A,,5
304,ACU_PedalRegenerative,pedalRegenAmount,float,0-1,0.f,Amount of regenerative braking according to the pedal,ACU,,10,1,A,,5
305,ACU_ThrottlePedal,"sensor1, sensor2","float, float","-, -","0.f, 0.f",Measurement of both throttle pedal sensors,ACU,,50,1,A,,0
306,ACU_BrakePedal,"sensor1, sensor2","float, float","-, -","0.f, 0.f",Measurement of both brake pedal sensors,ACU,,50,1,A,,0
307,ACU_BrakingSystemStatus,"pressure, brakingSystemOK, handbrakeActive","float, bool: 1, bool: 1","?, T/F, T/F","0.f, false, false","Pressure measured in the braking system, and whether the system is OK",ACU,"FUC, BoC",5,1,A,,10
320,ACU_MotorPower,"left, right","float, float","W, W","0.f, 0.f",Power measurement of both motors,ACU,,5,1,A,,10
321,ACU_MotorTemperature,"left, right","float, float","deg C, deg C","0.f, 0.f",Temperature measurement of both motors,ACU,,50,1,A,,1
322,ACU_InverterTemperature,"left, right","float, float","deg C, deg C","0.f, 0.f",Temperature measurement of both inverters,ACU,,50,1,A,,1
323,ACU_InverterLimitFlags,"leftMotorDerated, leftInverterDerated, leftMotorTempLimit, leftInverterTempLimit, leftCurrentLimit, pad1, rightMotorDerated, rightInverterDerated, rightMotorTempLimit, rightInverterTempLimit, rightCurrentLimit, pad2","bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, uint16_t: 11, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, uint16_t: 11","b,b,b,b,b,p,b,b,b,b,b,p","0,0,0,0,0,0,0,0,0,0,0,0",Limit flags of the inverters,ACU,,10,1,A,,5
330,ACU_VelocitySetpoint,setpoint,float,m/s,0.f,Current setpoint used for longitudinal motion control on the ACU,ACU,,10,1,A,,5
331,ACU_CCControllerState,"error, integrator","float, float","m/s, m","0.f, 0.f",Current state of the PI Cruise Control feedback controller,ACU,,10,1,A,,5
332,ACU_CCControllerParams,"kp, ki","float, float","-, -","0.f, 0.f",Cruise Control PI feedback controller tuning parameters,ACU,,50,1,A,,1
340,ACU_DSSStatus,"state, killswitchActive","ControlState, bool: 1","control state, T/F","ControlState::Unknown, true",Control state for DSS on the ACU,ACU,"BB, AVC",5,1,A,,20
341,ACU_DSSPrecheckErrors,"nErrs, error1, error2, error3, error4, error5, error6, error7","uint8_t, DSSPrecheckError, DSSPrecheckError, DSSPrecheckError, DSSPrecheckError, DSSPrecheckError, DSSPrecheckError, DSSPrecheckError","n, error, error, error, error, error, error, error","0, DSSPrecheckError::None, DSSPrecheckError::None, DSSPrecheckError::None, DSSPrecheckError::None, DSSPrecheckError::None, DSSPrecheckError::None, DSSPrecheckError::None",Errors that occurred during DSS precheck,ACU,BB,50,1,A,,1
342,ACU_DSSActuationErrors,"nErrs, error1, error2, error3, error4, error5, error6, error7","uint8_t, DSSActuationError, DSSActuationError, DSSActuationError, DSSActuationError, DSSActuationError, DSSActuationError, DSSActuationError","n, error, error, error, error, error, error, error","0, DSSActuationError::None, DSSActuationError::None, DSSActuationError::None, DSSActuationError::None, DSSActuationError::None, DSSActuationError::None, DSSActuationError::None",Errors that occurred during DSS actuation,ACU,BB,50,1,A,,1
343,ACU_CANOpenInterfaceControl,enable,bool,T/F,false,Control message for the ACU CANopen interface,ACU,,10,1,A,,5
344,ACU_CANOpenInterfaceState,state,CANOpenInterfaceState,state,CANOpenInterfaceState::Off,Current state of the ACU CANopen interface,ACU,,10,1,A,,5
345,ACU_SACState,"nodeState, interfaceState","CANOpenNodeState, CANOpenInterfaceDeviceState","state, state","CANOpenNodeState::Unknown, CANOpenInterfaceDeviceState::Unknown",State of the steering actuator CANopen node,ACU,,10,1,A,,5
346,ACU_BACState,"nodeState, interfaceState","CANOpenNodeState, CANOpenInterfaceDeviceState","state, state","CANOpenNodeState::Unknown, CANOpenInterfaceDeviceState::Unknown",State of the steering actuator CANopen node,ACU,,10,1,A,,5
347,ACU_DSSActuation,"state, error, startingState, enableInverters, inverterSetpoint","DSSActuationState, DSSControllerError,DSSControllerStartingStage, bool, float","state, error, stage, T/F, 0-1","DSSActuationState::Unknown, DSSControllerError::None, DSSControllerStartingStage::None, false, 0.f",State of the DSS control component and setpoint of the DSS component to the inverters,ACU,,10,1,A,,5
348,ACU_EnableDSSVoltage,enable,bool,T/F,0,Indication from the ACU to the LVC on whether the DSS actuator voltage should be enabled,ACU,LVC,5,1,A,,10
349,ACU_PlanarAcceleration,"x, y","float, float","m/s^2, m/s^2","0.f, 0.f",X and Y components of the acceleration vector measured by the ACU,ACU,,5,1,A,,10
350,ACU_BrakingPrecheck,state,BrakingPrecheckState,state,BrakingPrecheckState::Unknown,Braking precheck state,ACU,BB,10,1,A,,5
351,ACU_BrakingPressure,"sensor1, sensor2","float, float","?, ?","0.f, 0.f",Pressure measured by the redundant braking sensors,ACU,,10,1,A,,5
352,ACU_BrakingFluidLevel,"sensor1, sensor2","bool: 1, bool: 1","T/F, T/F","false, false",Values measured by the braking fluid level sensors,ACU,,10,1,A,,5
353,ACU_BrakingSystemFaults,"pressureSensorsDifferent, pressureSensor1OOB, pressureSensor2OOB, underpressure, levelSensorsDifferent, underlevel","bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1","T/F, T/F, T/F, T/F, T/F, T/F","false, false, false, false, false, false",Errors detected by the braking system monitor,ACU,,10,1,A,,5
360,ACU_SteeringAngle,steeringAngle,float,degrees,0.f,Steering angle as measured by the ACU,ACU,BB,5,1,A,,10
370,ACU_DareCCSetpoint,setpoint,float,km/h,0.f,Dare CC setpoint,ACU Dare setpoint,ACU,,1,A,,10
371,ACU_DareCCLeftController,"error, integral","float, float","-, -","0.f, 0.f",Dare CC left controller state,ACU,,5,1,A,,10
372,ACU_DareCCRightController,"error, integral","float, float","-, -","0.f, 0.f",Dare CC right controller state,ACU,,5,1,A,,10
373,ACU_DareCCInverterSetpoints,"left, right","float, float","-, -","0.f, 0.f",Dare CC setpoints sent to the left and right inverters,ACU,,5,1,A,,10
374,ACU_DareCCVelocities,"left, right","float, float","-, -","0.f, 0.f",Velocities,ACU,,5,1,A,,10
375,ACU_DareCCBusVoltages,"left, right","float, float","V, V","0.f, 0.f",Voltages,ACU,,5,1,A,,10
376,ACU_BusErrors,"mainTx,mainRx,invTx,invRx,cntr","uint8_t,uint8_t,uint8_t,uint8_t,uint8_t","-,-,-,-,-","0,0,0,0,0",Errors of main and sub buses,ACU,InvL,5,1,A,,10
377,ACU_GitInfo,"hash,controllerRepoState,eslibRepoState,canspecRepoState","uint32_t,RepoState,RepoState,RepoState","-,-,-,-","0,RepoState::Unknown,RepoState::Unknown,RepoState::Unknown",Git repository state of the ACU,ACU,,,1,A,,5
378,ACU_BuildTimeStamp,"year,month,day,hour,minute","uint16_t,Month,uint8_t,uint8_t,uint8_t","year,month,day,hour,minute","0,Month::Unknown,0,0,0",Timestamp of the build of the current ACU binary,ACU,,,1,A,,0
387,MPPT1_CurrentAndVoltageIn,"currentIn, voltageIn","float, float","mA, V","0.f, 0.f",MPPT 1 current IN and voltage IN,MPPT1,PvC,,1,A,Mirror=true,0
388,MPPT2_CurrentAndVoltageIn,"currentIn, voltageIn","float, float","mA, V","0.f, 0.f",MPPT 2 current IN and voltage IN,MPPT2,PvC,,1,A,Mirror=true,0
389,MPPT3_CurrentAndVoltageIn,"currentIn, voltageIn","float, float","mA, V","0.f, 0.f",MPPT 3 current IN and voltage IN,MPPT3,PvC,,1,A,Mirror=true,0
400,PvC_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",PvC version message,PvC,,,1,A,,0
401,PvC_Keepalive,bmsAlive,bool: 1,T/F,0,Keepalive of the PvC,PvC,,5,1,A,,10
402,PvC_SolarChargingState,"state, error","SolarChargingState, SolarChargingError","state, error","SolarChargingState::Unknown, SolarChargingError::None",State of the solar charging system,PvC,FUC,5,1,A,,10
403,PvC_MPPTState,"mppt1, mppt2, mppt3","MPPTState, MPPTState, MPPTState","state, state, state","MPPTState::Unknown, MPPTState::Unknown, MPPTState::Unknown",State of the MPPTs connected to the PvC,PvC,FUC,10,1,A,,5
404,PvC_CurrentMeasurements,"mppt1, mppt2, mppt3","int16_t, int16_t, int16_t","mA, mA, mA","0, 0, 0","Current measurement per MPPT, with positive current being from MPPT to HV bus",PvC,,50,1,A,,10
405,PvC_MPPTCurrents,"mppt1, mppt2, mppt3","int16_t, int16_t, int16_t","mA, mA, mA","0, 0, 0","Current measurement per MPPT, with positive current being from MPPT to HV bus",PvC,,5,1,A,,10
406,PvC_MPPTTemperatures,"mppt1, mppt2, mppt3","int16_t, int16_t, int16_t","cdegC, cdegC, cdegC","0, 0, 0",PCB temperatures per MPPT,PvC,,10e,1,A,,5
500,ChC_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",ChC version message,ChC,,,1,A,,0
501,ChC_Keepalive,"bmsAlive, pvcAlive","bool: 1, bool: 1","T/F, T/F","0, 0",Keepalive of the ChC,ChC,,10,1,A,,5
502,ChC_MainsState,"state, error, relayClosed, relayStatus, mosfetClosed, lockActive","MainsChargingState, ChargingError, bool:1, bool:1, bool:1, bool: 1","state, error reason, T/F, T/F, T/F, T/F","MainsChargingState::Unknown, ChargingError::None, 0, 0, 0, 0",State of the charge controller and possible error reasons,ChC,,5,1,A,,10
503,ChC_Ch1ConnState,"periodFlag, nMsgs, nRecv","uint8_t, uint8_t, uint8_t","-, -, -","0, 0, 0","Flag for request/response periods, number of messages sent to charger 1, number of messages received for each charger",ChC,,2,1,A,,0
504,ChC_Ch2ConnState,"periodFlag, nMsgs, nRecv","uint8_t, uint8_t, uint8_t","-, -, -","0, 0, 0","Flag for request/response periods, number of messages sent to charger 2, number of messages received for each charger",ChC,,2,1,A,,0
505,ChC_Ch3ConnState,"periodFlag, nMsgs, nRecv","uint8_t, uint8_t, uint8_t","-, -, -","0, 0, 0","Flag for request/response periods, number of messages sent to charger 3, number of messages received for each charger",ChC,,2,1,A,,0
